date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:44:33	152880/152880	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Sep%202024%2017:29:26%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/blog/3.jpg	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/blog/3.jpg	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:44:33	3110/3110	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Sep%202024%2017:29:26%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/brand/2.svg	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/brand/2.svg	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:44:33	3524/3524	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Sep%202024%2017:29:26%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/brand/3.svg	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/brand/3.svg	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:44:33	4179/4179	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Sep%202024%2017:29:26%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/brand/4.svg	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/brand/4.svg	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:44:34	7177/7177	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Sep%202024%2017:29:26%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/brand/5.svg	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/brand/5.svg	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:44:34	2820/2820	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Sep%202024%2017:29:26%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/brand/6.svg	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/brand/6.svg	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:44:34	7177/7177	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Sep%202024%2017:29:26%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/brand/7.svg	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/brand/7.svg	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:44:34	1380/1380	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Sep%202024%2017:29:26%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/brand/9.svg	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/brand/9.svg	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:44:35	87535/87535	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Sep%202024%2017:29:30%20GMT	https://template.dsngrid.com/exfolio/dark/assets/js/jquery-3.7.1.min.js	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/js/jquery-3.7.1.min.js	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:44:35	86319/86319	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2017%20Sep%202024%2015:00:50%20GMT	https://template.dsngrid.com/exfolio/dark/assets/js/plugins/dsn-grid.min.js	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/js/plugins/dsn-grid.min.js	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:44:35	50913/50913	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2017%20Sep%202024%2015:42:34%20GMT	https://template.dsngrid.com/exfolio/dark/assets/js/custom.js	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/js/custom.js	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:44:36	1125795/1125795	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Sep%202024%2023:28:16%20GMT	https://template.dsngrid.com/exfolio/dark/assets/js/plugins.min.js	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/js/plugins.min.js	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:44:36	34305/34305	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Sep%202024%2017:29:26%20GMT	https://template.dsngrid.com/exfolio/dark/assets/css/plugins/fontawesome-all.min.css	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/css/plugins/fontawesome-all.min.css	(from https://template.dsngrid.com/exfolio/dark/assets/css/plugins.css)
05:44:36	18462/18462	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Sep%202024%2023:28:16%20GMT	https://template.dsngrid.com/exfolio/dark/assets/css/plugins/swiper.min.css	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/css/plugins/swiper.min.css	(from https://template.dsngrid.com/exfolio/dark/assets/css/plugins.css)
05:44:37	12686/12686	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Sep%202024%2017:29:26%20GMT	https://template.dsngrid.com/exfolio/dark/assets/css/plugins/jquery.animatedheadline.css	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/css/plugins/jquery.animatedheadline.css	(from https://template.dsngrid.com/exfolio/dark/assets/css/plugins.css)
05:44:37	15512/15512	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Sep%202024%2017:29:26%20GMT	https://template.dsngrid.com/exfolio/dark/assets/css/plugins/fancybox.css	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/css/plugins/fancybox.css	(from https://template.dsngrid.com/exfolio/dark/assets/css/plugins.css)
05:44:37	521/521	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Sep%202024%2017:29:26%20GMT	https://template.dsngrid.com/exfolio/dark/assets/css/plugins/fjGallery.css	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/css/plugins/fjGallery.css	(from https://template.dsngrid.com/exfolio/dark/assets/css/plugins.css)
05:44:38	44476/44476	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Sep%202024%2015:42:34%20GMT	https://template.dsngrid.com/exfolio/dark/assets/css/global.css	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/css/global.css	(from https://template.dsngrid.com/exfolio/dark/assets/css/plugins.css)
05:44:38	1455614/1455614	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Sep%202024%2017:29:30%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/team/7.jpg	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/team/7.jpg	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:44:38	1560/1560	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Sep%202024%2017:29:30%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/shap-line.svg	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/shap-line.svg	(from https://template.dsngrid.com/exfolio/dark/assets/css/style.css)
05:44:38	68396/68396	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Sep%202024%2017:29:26%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/dotted.svg	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/dotted.svg	(from https://template.dsngrid.com/exfolio/dark/assets/css/style.css)
05:44:38	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Oct%202024%2000:44:39%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/bg-line.png	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/bg-line.png	(from https://template.dsngrid.com/exfolio/dark/assets/css/style.css)
05:44:38	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Oct%202024%2000:44:39%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/bg-arc.png	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/bg-arc.png	(from https://template.dsngrid.com/exfolio/dark/assets/css/style.css)
05:44:39	369/369	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Sep%202024%2017:29:30%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/shape-awards.svg	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/shape-awards.svg	(from https://template.dsngrid.com/exfolio/dark/assets/css/style.css)
05:44:39	135473/135473	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Sep%202024%2015:42:00%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/pngtree-dotted.png	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/pngtree-dotted.png	(from https://template.dsngrid.com/exfolio/dark/assets/css/style.css)
05:44:39	362/362	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Sep%202024%2017:29:30%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/shape-awards2.svg	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/shape-awards2.svg	(from https://template.dsngrid.com/exfolio/dark/assets/css/style.css)
05:44:40	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Oct%202024%2000:44:40%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/patterns.png	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/patterns.png	(from https://template.dsngrid.com/exfolio/dark/assets/css/style.css)
05:44:42	422928/422928	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Sep%202024%2002:18:20%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/bg-video.jpg	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/bg-video.jpg	(from https://template.dsngrid.com/exfolio/dark/index.html)
